,Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,type,district,area_comfort
146,80000.0,1,2581.0,22,25,2018,31.0,14.0,14.0,Тимошенка,,,3.0
147,57000.0,3,851.0,5,9,1985,67.0,,,Маяковського,вулиця,Деснянський,
148,170000.0,2,1932.0,3,9,2005,88.0,44.0,22.0,Дмитрівська,вулиця,Шевченківський,22.0
148,170000.0,2,1932.0,3,9,2005,88.0,44.0,22.0,Дмитрівська,вулиця,Подільський,22.0
149,59750.0,2,996.0,14,15,1980,60.0,53.0,10.0,Курбаса,,,-3.0
150,42678.6,1,1094.3,16,16,None,39.0,12.0,14.0,Комарова,,,13.0
151,92000.0,2,1227.0,2,25,2015,75.0,38.0,15.0,Драгоманова,вулиця,Дарницький,22.0
152,115000.0,2,1597.0,4,32,2019,72.0,,14.0,Драгомирова,,,
153,54000.0,1,1227.0,18,25,2019,44.0,,,Моторний,,,
154,45500.0,1,929.0,2,9,1995,49.0,14.0,24.0,Милославська,вулиця,Деснянський,11.0
155,91500.0,1,2288.0,11,11,2020,40.0,20.0,12.0,Бойчука,,,8.0
156,60500.0,3,818.0,4,9,1990,74.0,,,Закревського,,,
157,250000.0,1,4630.0,7,25,2019,54.0,15.0,20.0,Івана Федорова,,,19.0
158,78000.0,2,1773.0,3,9,1966,44.0,,,Філатова,,,
159,130000.0,2,1625.0,6,25,2010,80.0,,14.0,Перемоги,площа,Шевченківський,
159,130000.0,2,1625.0,6,25,2010,80.0,,14.0,Перемоги,проспект,"Шевченківський, Святошинський, Солом'янський",
159,130000.0,2,1625.0,6,25,2010,80.0,,14.0,Перемоги,вулиця,Святошинський,
160,84999.0,4,885.0,7,16,1986,96.0,,13.0,Миропільська,вулиця,"Деснянський, Дніпровський",
161,83000.0,3,856.0,1,22,2007,97.0,65.0,14.0,Григоренка,,,18.0
162,129999.0,2,2063.0,6,9,2018,63.0,30.0,15.0,Юнацька,вулиця,Святошинський,18.0
162,129999.0,2,2063.0,6,9,2018,63.0,30.0,15.0,Юнацька,вулиця,Солом'янський,18.0
163,70000.0,3,729.0,4,4,1946,96.0,,,Вишгородська,вулиця,"Подільський, Оболонський",
164,36000.0,1,1200.0,5,9,None,30.0,13.0,10.0,Жолудєва,вулиця,Святошинський,7.0
165,210000.0,3,1409.0,7,12,2001,149.0,87.0,16.0,Павлівська,вулиця,Шевченківський,46.0
166,85900.0,3,1263.0,6,8,1964,68.0,47.0,6.0,Голосіївський,проспект,Голосіївський,15.0
166,85900.0,3,1263.0,6,8,1964,68.0,47.0,6.0,Голосіївський,провулок,Голосіївський,15.0
167,108000.0,1,2160.0,2,25,2019,50.0,30.0,10.0,Осокорська,вулиця,Дарницький,10.0
168,120000.0,3,1395.0,10,24,None,86.0,40.0,17.0,Вишгородська,вулиця,"Подільський, Оболонський",29.0
169,221000.0,2,3400.0,8,10,None,65.0,,,Драгомирова,,,
170,60000.0,1,1818.0,5,5,1962,33.0,,16.0,Тютюнника,,,
171,165000.0,2,2845.0,6,24,2015,58.0,25.0,22.0,Маккейна,,,11.0
172,200000.0,5,1481.0,4,4,1917,135.0,,,Івана Мазепи,,,
173,145000.0,2,1933.0,5,24,2007,75.0,44.0,14.0,Героїв Сталінграда,проспект,Оболонський,17.0
174,199000.0,3,2488.0,2,25,2018,80.0,33.0,22.0,Липківського,,,25.0
175,186117.4,1,3579.2,None,None,None,52.0,,,*** not found,,,
176,199000.0,2,2073.0,10,25,2005,96.0,43.0,16.0,Коновальця,,,37.0
177,50700.0,1,1300.0,6,14,2019,39.0,25.0,8.0,Максимовича,вулиця,Святошинський,6.0
178,185000.0,2,2256.0,5,21,2015,82.0,61.0,12.0,Зарічна,вулиця,Дарницький,9.0
179,152000.0,2,1667.0,24,25,2008,,41.0,,Голосіївська,площа,Голосіївський,
179,152000.0,2,1667.0,24,25,2008,,41.0,,Голосіївська,вулиця,Голосіївський,
180,92000.0,3,965.0,1,25,None,,48.0,16.0,Ясинуватський,провулок,Голосіївський,
181,49387.4,1,881.9,None,None,None,56.0,,,*** not found,,,
182,56500.0,1,1749.0,5,7,2019,,21.0,5.0,Колоса,,,
183,80000.0,1,2105.0,11,21,2017,38.0,12.0,15.0,Правди,проспект,Подільський,11.0
184,480000.0,4,2609.0,5,6,1915,184.0,108.0,34.0,Велика Васильківська,вулиця,"Голосіївський, Шевченківський, Печерський",42.0
185,59000.0,2,1157.0,2,12,1981,51.0,,,Голосіївський,проспект,Голосіївський,
185,59000.0,2,1157.0,2,12,1981,51.0,,,Голосіївський,провулок,Голосіївський,
186,149632.1,1,3183.6,None,None,None,47.0,,,*** not found,,,
187,147075.0,2,2228.0,9,11,None,66.0,,,Бойчука,,,
188,86860.0,2,905.0,10,10,2017,96.0,44.0,23.0,Центральна,вулиця,Дніпровський,29.0
188,86860.0,2,905.0,10,10,2017,96.0,44.0,23.0,Центральна,вулиця,Оболонський,29.0
188,86860.0,2,905.0,10,10,2017,96.0,44.0,23.0,Центральна,вулиця,Шевченківський,29.0
189,97000.0,2,1260.0,16,22,2018,77.0,,,Ясинуватський,провулок,Голосіївський,
190,55000.0,2,1222.0,13,16,1980,45.0,,11.0,Райдужна,вулиця,Дніпровський,
191,138000.0,2,1811.0,3,15,2014,,,,Ломоносова,вулиця,Голосіївський,
192,105000.0,2,1504.0,4,25,2014,,,,,,,
